Index,Height(Inches),Weight(Pounds)
151,69.54011,125.4036
152,67.39964,138.4659
153,66.47521,120.8184
154,66.01217,140.1539
155,72.44434,136.7397
156,64.12642,106.1139
157,70.98112,158.9562
158,67.50124,108.7868
159,72.01515,138.7758
160,65.31143,115.9136
161,67.07509,146.2922
162,64.39148,109.8765
163,69.37003,139.0499
164,68.37921,119.9001
165,65.31018,128.3069
166,67.1369,127.2428
167,68.39468,115.2306
168,66.2918,124.7975
169,67.1866,126.9511
170,65.99156,111.2711
171,69.43393,122.6089
172,67.97463,124.2084
173,67.76133,124.6453
174,65.27864,119.5169
175,73.83364,139.2983
176,66.81312,104.8265
177,66.89411,123.0424
178,65.73568,118.8923
179,65.98283,121.4939
180,66.58396,119.2488
181,67.11294,135.0239
182,65.87481,116.228
183,66.78067,109.1731
184,68.73577,124.2237
185,66.22666,141.1645
186,65.95968,129.1501
187,68.58372,127.8693
188,66.59347,120.9244
189,66.96574,127.6466
190,68.08015,101.4693
191,70.19025,144.9927
192,65.52149,110.9523
193,67.45905,132.8625
194,67.40985,146.3385
195,69.66158,145.5894
196,65.79799,120.8431
197,66.10558,115.7813
198,68.23987,128.3019
199,68.02403,127.4718
200,71.39044,127.8761
201,65.7316,121.4997
202,66.43358,112.7148
203,70.01309,135.002
204,69.48146,128.6789
205,68.62764,124.4062
206,68.36275,140.026
207,68.39028,117.519
208,68.77413,143.8737
209,69.9236,141.1703
210,71.55542,155.9414
211,68.44764,134.0093
212,66.71398,130.0975
213,66.68413,106.2265
214,67.93699,112.0489
215,68.89855,136.1884
216,67.29191,131.236
217,69.57212,131.3231
218,67.67479,119.5261
219,69.04155,116.9965
220,67.96765,138.5255
221,65.83982,109.6518
222,65.77288,130.1569
223,71.14106,137.1114
224,67.83055,113.759
225,65.0693,114.9725
226,69.70745,127.7149
227,69.92983,121.9972
228,66.11569,117.9607
229,68.61364,127.7141
230,68.9976,117.9619
231,66.79171,125.1554
232,68.02363,141.1026
233,69.67258,145.4822
234,71.82178,116.065
235,72.74676,135.7458
236,67.27951,132.9248
237,67.41015,115.6622
238,68.5315,114.3184
239,68.47126,148.952
240,68.51867,142.1878
241,63.72529,134.104
242,67.70483,141.8926
243,69.47115,138.7444
244,66.70198,134.449
245,65.23126,117.0167
246,69.89473,115.6752
247,69.83048,134.7905
248,65.3979,120.5746
249,68.32214,120.0835
250,65.93895,84.3598
251,70.09805,138.9394
252,66.05531,143.5245
253,68.23481,123.1347
254,65.21758,115.5261
255,69.16173,120.9844
256,67.60064,120.6473
257,67.28621,124.0352
258,66.84323,117.2238
259,68.08281,127.9598
260,66.56991,116.7527
261,70.16973,121.9957
262,67.85113,123.9952
263,66.62309,108.855
264,63.68816,104.6574
265,68.0356,132.248
266,66.941,127.1834
267,66.26292,125.1209
268,70.7301,133.322
269,70.70844,122.3364
270,73.26872,130.2636
271,63.79021,116.7431
272,67.84109,125.8534
273,67.78058,100.627
274,67.23901,118.4945
275,66.75701,137.1255
276,69.03098,118.6991
277,68.52652,124.1641
278,64.65419,124.9442
279,65.14295,126.3889
280,66.74124,121.5255
281,66.99923,133.2951
282,70.26611,127.4072
283,67.57666,125.08
284,66.30582,102.8114
285,68.90702,134.2212
286,65.60543,100.9758
287,68.00189,145.8886
288,69.93715,155.3046
289,70.1459,138.7175
290,66.66364,116.2611
291,69.40676,120.6087
292,66.80598,114.4083
293,67.70048,133.3406
294,69.13438,92.74955
295,67.53769,131.7825
296,65.77912,118.3865
297,66.25769,131.1466
298,67.39038,130.2033
299,64.94327,129.1836
300,69.25699,143.1445
301,69.07739,138.7307
302,69.64403,130.9528
303,69.07705,124.3032
304,68.01304,135.3702
305,68.85664,124.1988
306,63.19158,111.2389
307,65.57591,129.4037
308,69.12101,127.7444
309,69.78765,121.3311
310,67.48203,118.2183
311,69.08809,123.3441
312,68.5529,151.9118
313,68.21327,115.3108
314,67.1012,122.3844
315,71.23661,129.2323
316,69.11946,138.2824
317,65.49848,144.0565
318,66.58706,120.8482
319,67.99831,113.3034
320,72.57747,149.3227
321,67.97585,130.6373
322,66.62347,122.387
323,67.29574,133.8677
324,65.95951,134.8336
325,66.54011,137.8363
326,68.07723,112.6812
327,65.83291,121.1964
328,69.23721,114.9262
329,64.69413,110.3762
330,69.21372,126.0337
331,67.16792,118.7008
332,67.8467,119.3108
333,69.27389,150.7397
334,67.90547,121.1142
335,67.076,118.4065
336,70.01531,142.759
337,70.05454,145.6305
338,70.86714,127.3425
339,66.0586,115.9678
340,65.23745,104.4441
341,68.7413,138.4905
342,69.51946,145.5049
343,70.30764,124.4065
344,67.29982,124.1866
345,67.60582,126.1659
346,67.85566,138.8125
347,66.46536,121.5515
348,68.92071,114.2555
349,68.46886,129.4022
350,69.5193,137.5583
351,70.23956,134.4996
352,67.85651,127.7103
353,68.00435,115.6709
354,67.13983,131.5906
355,68.09931,127.5839
356,68.99077,125.7211
357,69.32618,119.9885
358,70.09286,140.8676
359,68.74304,136.9164
360,64.18633,118.4759
361,66.09074,129.5516
362,69.24418,152.0714
363,69.66512,120.8646
364,68.42721,136.1027
365,68.28613,130.0611
366,69.37684,131.7743
367,68.35315,139.38
368,72.32489,168.229
369,70.37159,127.6446
370,65.72927,131.8008
371,66.49627,122.8561
372,70.81339,140.2133
373,67.37579,142.6929
374,67.79709,137.4299
375,68.1607,126.0392
376,68.85782,143.5985
377,67.71342,122.62
378,64.66007,108.6044
379,65.73721,100.6617
380,68.42441,116.1397
381,68.88946,140.5293
382,68.27367,125.6907
383,69.18045,134.3329
384,72.60996,136.4649
385,66.04157,127.8822
386,69.2288,123.1361
387,68.87697,116.3375
388,66.46042,124.5581
389,69.30444,125.7853
390,67.58249,107.5905
391,69.41816,143.0236
392,67.46867,118.7434
393,66.44873,118.9856
394,68.76185,131.8744
395,63.76881,119.3691
396,69.03663,126.1223
397,66.48966,126.6122
398,66.74224,113.5597
399,67.69394,115.8413
400,66.69066,130.2738
401,67.02877,125.4542
402,65.91096,117.1655
403,70.0304,137.3184
404,69.26978,149.4447
405,70.07695,151.0695
406,64.90942,116.9994
407,69.68744,138.1787
408,67.56524,127.621
409,63.85529,120.7514
410,71.6189,144.2537
411,64.98993,105.7939
412,64.60759,120.1567
413,62.01666,109.0848
414,65.28516,125.971
415,67.70163,110.2325
416,70.85794,134.4706
417,68.17075,115.5067
418,67.45006,125.1086
419,71.04224,116.4113
420,67.83032,133.3944
421,67.15488,108.7478
422,68.30289,134.3986
423,65.41208,131.2085
424,68.66755,130.8318
425,70.06733,127.0838
426,69.13413,119.4067
427,67.02078,105.5616
428,65.52274,134.4733
429,70.19808,132.6897
430,67.66866,126.058
431,69.73257,126.3532
432,67.61719,142.3603
433,70.79589,124.5873
434,69.65804,122.3604
435,66.73277,123.2298
436,67.58008,131.4049
437,65.25317,124.3037
438,70.71387,128.3836
439,71.27374,136.853
440,66.55913,118.0569
441,68.04247,121.4969
442,68.11699,119.2811
443,71.2367,126.5545
444,66.92387,129.2477
445,71.10381,134.7804
446,69.41466,146.0725
447,69.16807,162.4109
448,68.57725,130.1885
449,69.60315,132.1941
450,69.05087,127.4591
451,68.28699,125.3466
452,69.25276,134.7559
453,68.23862,121.9395
454,67.6868,125.6688
455,68.84083,145.956
456,69.52061,119.9207
457,66.97668,111.5093
458,72.0053,138.676
459,67.44482,135.0151
460,66.06214,116.509
461,65.5747,123.9575
462,68.30171,136.952
463,71.02603,153.0797
464,70.76882,126.357
465,67.50812,145.0614
466,69.50936,135.1739
467,66.4455,108.806
468,68.5689,110.5155
469,67.01296,138.2685
470,68.70004,119.5111
471,68.23013,115.3214
472,70.40713,132.3684
473,65.69989,93.99438
474,65.7031,127.4051
475,68.48055,134.3024
476,66.62891,124.9721
477,66.84285,124.072
478,69.89734,133.5476
479,67.6543,134.1509
480,68.30917,130.2489
481,69.74848,138.0935
482,68.57906,126.6064
483,68.14477,131.8076
484,67.98093,131.7363
485,64.82535,117.6261
486,69.20785,126.1943
487,69.2656,127.5132
488,70.9403,142.4785
489,69.07826,139.444
490,66.20183,110.3204
491,71.05779,131.9541
492,68.99493,129.2037
493,70.96089,124.3513
494,66.02496,126.5251
495,69.8641,149.2303
496,66.82802,142.1577
497,69.09424,127.1436
498,66.81425,122.3353
499,67.13183,112.6659
500,64.57428,134.2647
501,68.68038,120.6936
502,67.53724,115.783
503,71.17732,128.6855
504,70.53514,134.7611
505,71.53411,118.3419
506,66.77301,106.1557
507,66.33636,126.3823
508,64.83095,114.3716
509,68.38247,130.2787
510,68.05038,123.3066
511,69.09149,122.8571
512,69.91046,125.6932
513,68.40737,111.7247
514,68.32559,125.5516
515,66.95555,119.9702
516,70.54816,132.6043
517,69.37805,132.6738
518,67.52012,117.4521
519,64.87142,101.8549
520,69.13396,128.4418
521,68.81192,134.0414
522,67.56446,127.7511
523,68.16772,127.6172
524,65.80687,139.3971
525,64.92276,113.9381
526,68.35584,147.5188
527,66.71546,132.6523
528,69.18196,132.8139
529,65.88795,105.0942
530,66.03733,127.5187
531,69.44194,130.7305
532,67.14847,128.5815
533,65.69442,122.5699
534,69.42723,157.2961
535,66.54503,121.1097
536,69.04469,147.5061
537,67.62036,117.493
538,69.59105,132.4472
539,68.12343,118.1774
540,71.22641,123.7319
541,66.43285,130.365
542,66.31808,122.8882
543,68.02724,107.8693
544,68.2876,118.591
545,66.91609,125.6467
546,71.77546,148.6016
547,66.04535,150.279
548,69.01455,127.0678
549,68.70744,128.7122
550,65.012,118.4233
551,66.05857,125.3879
552,71.16403,149.2676
553,67.55274,107.3484
554,68.83455,133.6992
555,68.11811,124.8508
556,67.90528,112.7028
557,67.64085,127.8407
558,69.78282,134.1615
559,67.99889,138.6031
560,69.41465,126.044
561,70.42989,129.5856
562,67.67519,134.1054
563,67.88036,106.1251
564,68.06905,127.0561
565,66.99435,121.9241
566,71.57689,150.7365
567,64.36564,116.0061
568,67.93011,125.4748
569,69.91863,131.6099
570,69.93864,129.0696
571,66.79766,129.1117
572,70.11119,148.1624
573,68.94814,105.388
574,68.02886,110.5447
575,69.36148,118.6402
576,68.44886,122.8151
577,65.70282,124.887
578,69.55674,135.7695
579,65.84635,116.4563
580,68.79983,125.3617
581,69.03835,133.122
582,67.36352,138.3328
583,70.35788,124.4972
584,69.88828,136.7205
585,65.15319,115.0153
586,69.40907,132.6366
587,68.50874,143.1323
588,65.71552,134.7422
589,63.98308,122.6246
590,70.07685,153.5634
591,68.42542,126.289
592,68.23665,134.7206
593,67.82856,134.5987
594,66.31277,118.3945
595,69.75128,121.2997
596,65.70901,132.2844
597,66.88227,139.0617
598,67.2791,110.698
599,70.63357,154.1073
600,69.9377,124.1592
601,65.87671,134.5173
602,72.44694,138.2622
603,70.07052,149.0801
604,67.68486,127.0075
605,66.1151,117.8222
606,69.94355,148.9096
607,68.24317,128.2151
608,68.80144,129.6944
609,66.61818,125.5674
610,70.18701,128.7947
611,65.58971,124.187
612,68.69566,151.4167
613,64.88639,106.9803
614,69.81993,145.6221
615,66.33962,121.5926
616,70.4434,130.9386
617,69.99163,135.6203
618,70.13617,123.9315
619,67.1793,131.9955
620,68.2034,117.484
621,67.76121,129.6577
622,64.79753,122.3706
623,66.47871,114.5867
624,66.98337,116.5401
625,65.69991,139.4307
626,66.82705,123.4822
627,66.35141,132.5492
628,70.13491,143.4013
629,70.11565,132.9429
630,64.56145,98.8972
631,68.15724,122.4342
632,67.1475,104.6767
633,70.88927,142.7847
634,68.16218,130.9283
635,71.19657,143.827
636,67.92444,142.2832
637,65.30204,107.9441
638,66.40756,105.6891
639,71.30647,125.4007
640,69.05997,106.4195
641,65.95442,118.5371
642,69.63776,136.7836
643,71.10495,145.9328
644,66.21851,129.637
645,66.13469,108.4955
646,67.7851,121.2537
647,66.67737,135.7399
648,69.99408,137.5026
649,71.1441,124.0052
650,68.63927,128.8613
651,69.08548,133.6811
652,67.97389,106.5185
653,65.94809,113.0398
654,66.02102,125.9639
655,71.23576,140.2945
656,67.52674,143.229
657,71.06935,145.8063
658,68.27178,128.1697
659,67.31932,134.1839
660,68.98848,140.2166
661,68.404,146.3453
662,67.092,132.0784
663,66.76866,122.13
664,65.64636,131.4693
665,65.34105,129.5167
666,68.18299,125.7451
667,70.65924,153.1384
668,65.94401,124.5559
669,69.62792,134.8225
670,68.29965,115.3877
671,70.06075,117.9618
672,68.43602,124.5647
673,69.27012,134.4043
674,67.70511,129.3092
675,70.89315,133.1423
676,70.54313,147.3609
677,71.58086,155.0132
678,68.42301,126.2905
679,69.35781,134.4605
680,70.445,134.0296
681,67.38153,128.9248
682,67.50767,123.0543
683,68.52054,112.1788
684,66.80858,111.7443
685,72.38532,148.4615
686,68.51642,136.7459
687,70.79791,133.2068
688,66.21905,116.8855
689,68.31167,124.8542
690,67.1715,121.5809
691,67.7714,123.197
692,67.47328,137.1255
693,67.77463,121.4941
694,69.20099,150.9398
695,70.04297,142.3009
696,70.56979,134.7527
697,66.45379,133.5585
698,67.68132,136.0895
699,65.75638,95.20216
700,69.3549,119.7404
701,70.5902,152.9146
702,67.27626,140.1991
703,68.48853,145.2503
704,67.02188,119.4855
705,65.77613,123.512
706,65.96579,110.6754
707,68.18868,111.4951
708,72.08595,139.4849
709,66.85358,133.088
710,69.10929,133.5196
711,64.5909,112.7698
712,67.03849,124.7975
713,68.99156,123.4224
714,70.59872,142.0921
715,70.08988,116.2814
716,65.6844,131.1256
717,67.0982,131.2493
718,66.03932,127.2422
719,69.26423,122.4523
720,66.61351,115.2431
721,68.11738,126.9532
722,69.73059,143.4439
723,64.02042,125.377
724,66.23753,109.0095
725,72.46761,139.2411
726,66.21938,102.182
727,71.2978,144.3898
728,63.1255,83.08527
729,70.93034,145.3938
730,68.25489,134.9267
731,64.78014,134.678
732,65.42982,111.4963
733,68.91361,119.7951
734,64.96937,95.70426
735,66.15237,117.159
736,65.98386,127.2356
737,69.2435,144.9205
738,68.31982,122.8464
739,70.11607,134.19
740,68.63521,124.9776
741,67.74289,135.8441
742,64.58641,120.8222
743,64.66165,125.0174
744,65.90771,133.5474
745,65.77649,124.5583
746,67.1506,135.9691
747,72.24339,143.5738
748,68.73199,130.5725
749,67.57019,127.192
750,70.36234,141.2372
751,63.62233,107.4236
752,66.20711,122.3234
753,66.22114,111.6055
754,70.0722,137.8915
755,69.6563,142.8742
756,66.25043,114.4349
757,68.0704,128.2736
758,67.14808,134.5725
759,68.76609,140.1034
760,68.12075,121.977
761,65.72987,111.4248
762,69.17439,135.0756
763,70.36351,132.9826
764,70.78557,117.7566
765,70.88083,134.9877
766,66.62148,151.6121
767,69.9829,128.9287
768,66.92866,120.1575
769,71.45806,125.6007
770,69.66344,127.8292
771,69.30943,136.1354
772,66.59775,116.2841
773,64.20209,127.0777
774,68.23051,125.7165
775,70.09021,121.0749
776,70.9755,122.7382
777,64.93134,119.4545
778,66.90106,132.9048
779,69.19803,132.8687
780,68.4149,124.3486
781,66.3163,132.2198
782,72.13467,142.804
783,65.74613,129.605
784,69.96677,128.5326
785,65.11417,112.9919
786,67.43294,122.0795
787,66.39785,118.396
788,67.18769,130.1299
789,67.68597,111.6824
790,67.77469,142.2452
791,63.62937,122.6049
792,66.447,122.8198
793,71.9233,119.1123
794,67.92214,139.4335
795,68.01143,141.3353
796,67.76524,119.787
797,69.19791,136.326
798,67.00109,118.4099
799,67.09659,137.692
800,69.85144,129.078
801,67.42782,123.4642
802,68.1104,115.4311
803,68.29433,129.931
804,69.45176,135.9563
805,69.08219,127.8134
806,70.91753,139.1014
807,64.20566,109.2132
808,71.10315,124.6154
809,72.08523,136.221
810,66.15119,120.4722
811,67.52898,116.1659
812,67.17586,115.5093
813,72.92955,141.9961
814,65.54112,135.4869
815,69.08487,135.1305
816,65.28991,108.2494
817,68.53447,125.1277
818,71.32802,142.8947
819,66.88095,128.2978
820,67.91196,128.268
821,67.00238,103.5665
822,68.27584,156.1069
823,66.20276,104.9661
824,64.24214,121.6365
825,67.43738,132.0066
826,64.50081,118.4079
827,68.89607,135.3898
828,70.32908,140.6633
829,64.31742,111.6703
830,67.11253,128.0328
831,68.01206,130.4737
832,68.25267,128.2127
833,67.76873,142.8202
834,67.44291,123.0804
835,65.73581,117.8771
836,69.64372,130.9274
837,71.92818,129.1735
838,69.39435,144.5784
839,67.14717,115.8635
840,69.1469,116.5322
841,66.90594,141.9947
842,67.838,132.1304
843,68.09614,135.2607
844,66.14093,127.0684
845,71.16386,129.844
846,67.55757,134.5066
847,70.01279,121.3609
848,72.56431,143.1486
849,66.60224,124.7741
850,68.51802,120.1546
851,66.34638,139.4163
852,69.02692,131.6743
853,69.12446,131.07
854,68.24578,129.8914
855,68.4869,123.344
856,70.68261,137.5314
857,70.35969,136.8886
858,67.62401,118.4024
859,69.4463,116.2441
860,67.92486,124.8433
861,68.39347,120.9809
862,66.31812,105.1208
863,71.22882,145.4377
864,65.29169,108.1912
865,66.00287,130.3778
866,67.61775,117.5157
867,69.10276,135.8762
868,68.99743,127.5126
869,69.07531,151.3998
870,68.34086,112.4799
871,71.68196,156.7554
872,68.77664,138.2098
873,66.18191,109.5685
874,72.37092,139.9742
875,66.85155,124.5873
876,65.75688,130.5023
877,69.69245,151.0783
878,66.27915,108.7722
879,66.47752,105.9927
880,68.71912,143.4301
881,68.29244,114.7434
882,67.66696,123.7736
883,71.29885,139.4769
884,67.07369,115.8201
885,70.68048,146.5682
886,71.40114,153.9993
887,71.00392,137.5899
888,66.2799,125.9287
889,68.05383,139.6939
890,64.16346,126.3585
891,66.87966,113.9307
892,70.52968,129.7605
893,65.45595,116.1925
894,69.11331,139.1294
895,67.94221,126.9815
896,67.2132,125.8352
897,67.6372,113.524
898,70.09365,123.2372
899,64.41354,123.0554
900,69.77698,128.133
901,66.58181,127.9357
902,68.14995,110.4678
903,66.18165,127.9364
904,66.79412,118.1678
905,67.1657,129.7243
906,68.01904,130.6094
907,66.95837,105.0414
908,68.70397,122.6299
909,69.68057,138.3259
910,66.52793,107.7381
911,66.46981,141.4417
912,71.44643,153.6966
913,66.62648,134.5551
914,64.01015,109.6593
915,65.03312,117.2029
916,66.77216,124.2843
917,68.91932,125.2193
918,71.22926,133.2256
919,71.10332,122.6042
920,69.80699,134.8652
921,67.09127,111.4506
922,67.27958,116.8458
923,71.86593,143.1527
924,67.20197,99.92383
925,68.44108,127.9232
926,67.20278,136.658
927,69.36588,145.3947
928,69.0416,126.6818
929,65.9056,128.1983
930,66.44766,122.8328
931,66.08009,133.2571
932,69.35367,116.7606
933,70.83359,144.0455
934,67.664,132.5153
935,65.30966,123.9832
936,66.66817,113.1423
937,66.93271,123.9512
938,67.73938,133.9787
939,64.27722,128.1519
940,66.83442,121.2878
941,65.89728,122.7107
942,67.6564,125.4136
943,68.68966,124.8761
944,66.08003,116.5903
945,66.91344,129.889
946,69.48392,123.889
947,68.60001,137.6571
948,69.21225,130.8805
949,67.63342,141.9706
950,65.73405,125.7334
951,66.09947,104.4108
952,67.65293,117.0685
953,67.59619,131.7669
954,69.57859,125.4738
955,66.08879,129.5734
956,70.08026,130.1053
957,65.00956,131.9305
958,69.16464,142.4645
959,69.61276,127.6431
960,71.48367,153.3153
961,69.47413,126.7609
962,69.0027,114.0258
963,69.5581,133.9684
964,68.63746,127.5869
965,67.20262,126.4859
966,66.07614,120.7651
967,66.18342,126.6479
968,70.80778,133.0747
969,67.158,125.9649
970,65.2973,121.3206
971,69.23494,129.7824
972,68.90768,130.0549
973,72.3478,123.4005
974,68.29557,137.2791
975,68.34735,127.7554
976,67.46476,133.6853
977,68.86803,113.9275
978,66.62471,135.6168
979,64.77193,122.6005
980,67.70647,118.9472
981,72.992,134.2703
982,70.95194,124.2747
983,67.95677,130.6981
984,67.20959,124.6797
985,66.36959,129.0839
986,67.63896,121.9456
987,69.74444,126.2689
988,68.17532,134.6122
989,66.89711,131.8476
990,67.4966,103.5828
991,66.51569,116.3925
992,66.88332,123.5095
993,69.7277,150.3395
994,69.78345,135.2437
995,65.40046,112.4584
996,67.99831,137.4861
997,72.25581,132.7902
998,70.79562,126.0286
999,65.18786,141.3591
1000,67.7123,135.9065
1001,70.05146,134.6655
1002,67.30497,122.0232
1003,66.39813,128.3502
1004,69.73637,130.6354
1005,68.71659,131.717
1006,63.88437,108.6132
1007,68.40851,114.5673
1008,67.93251,133.5136
1009,70.69674,135.8641
1010,68.95083,148.1093
1011,66.49457,123.5179
1012,68.59369,120.8406
1013,66.26442,116.2666
1014,69.58656,123.8986
1015,67.35651,119.32
1016,69.68727,119.4097
1017,68.44046,124.5933
1018,68.47973,130.8802
1019,65.45463,118.2058
1020,66.8085,109.6357
1021,70.05212,140.2298
1022,67.43558,121.5764
1023,66.54306,98.30262
1024,67.32353,117.6173
1025,67.9725,136.5104
1026,69.03858,148.9791
1027,67.69453,123.9665
1028,69.30508,133.5957
1029,65.39643,117.2334
1030,68.35638,123.5943
1031,65.36888,117.7674
1032,68.36499,137.2321
1033,71.15702,129.1996
1034,69.25532,142.4032
1035,66.6984,128.4838
1036,69.17548,115.3008
1037,68.31559,119.5309
1038,67.81616,121.7224
1039,68.56123,142.8442
1040,66.23085,110.1171
1041,68.95099,122.0958
1042,67.86761,124.8188
1043,68.05498,119.3169
1044,67.73986,132.4571
1045,69.83641,133.0316
1046,70.68574,160.8831
1047,64.54385,119.127
1048,67.93112,138.516
1049,67.77291,124.8232
1050,69.41312,135.9744
1051,67.77213,116.2254
1052,67.79965,139.2002
1053,67.98313,137.983
1054,69.97983,144.5084
1055,63.83261,109.1938
1056,65.57212,127.228
1057,69.34307,124.5517
1058,67.28398,114.926
1059,68.7435,132.5027
1060,69.03112,125.3892
1061,69.64426,128.4988
1062,66.70052,117.7319
1063,67.9143,112.9531
1064,64.36849,126.1835
1065,65.87507,118.7934
1066,67.07427,125.4388
1067,69.34545,124.9451
1068,69.83212,145.5139
1069,66.10245,116.7836
1070,69.26205,132.5216
1071,68.33525,114.8933
1072,69.38017,122.8594
1073,69.12887,130.5782
1074,68.44658,119.1058
1075,66.34542,133.8204
1076,70.03275,128.5779
1077,70.16523,139.0179
1078,68.18324,101.2876
1079,70.12378,140.958
1080,68.4296,134.6146
1081,66.43974,129.9482
1082,71.72703,139.064
1083,70.72387,135.1996
1084,68.09022,129.682
1085,70.12976,129.1395
1086,66.05393,129.0051
1087,69.77059,112.7357
1088,68.15816,126.1123
1089,69.91372,118.3724
1090,65.34461,122.9731
1091,68.35621,130.3663
1092,64.50585,114.226
1093,67.95491,115.7854
1094,68.57621,137.9526
1095,68.12257,112.2435
1096,68.77583,137.237
1097,67.92593,124.9418
1098,69.1484,135.0961
1099,63.20539,114.4199
1100,69.2442,122.1823
1101,65.88645,129.375
1102,67.85186,129.9448
1103,65.57418,140.4557
1104,66.70819,120.8977
1105,69.172,129.159
1106,69.23593,137.1397
1107,67.57232,145.2218
1108,69.50518,140.0956
1109,70.60288,124.12
1110,66.54152,135.6875
1111,69.11494,127.756
1112,69.951,144.0475
1113,67.70347,131.9333
1114,69.19028,135.5263
1115,67.8047,151.3579
1116,67.62532,124.7073
1117,70.36898,135.274
1118,71.02595,136.5388
1119,69.8452,137.8778
1120,67.08638,114.2066
1121,68.62013,141.5844
1122,64.37275,111.0969
1123,65.93523,126.3868
1124,65.24285,132.8885
1125,70.51481,144.7904
1126,66.61129,108.3859
1127,67.13394,124.1348
1128,66.77634,129.4462
1129,67.69385,131.3339
1130,67.82809,111.6411
1131,66.63254,111.6422
1132,67.62229,140.3178
1133,69.66798,125.5286
1134,62.75039,114.49
1135,64.53878,113.998
1136,68.01929,117.1931
1137,66.38551,138.3156
1138,70.18724,122.3712
1139,64.646,132.9431
1140,67.48819,124.0449
1141,72.01807,144.1591
1142,66.61356,115.4581
1143,65.81803,116.5192
1144,71.16185,139.6139
1145,68.51977,133.2364
1146,64.96088,120.025
1147,66.88268,123.1111
1148,70.3531,132.8462
1149,67.71744,120.9359
1150,66.03333,129.7702
1151,68.9826,136.9118
1152,68.60237,131.121
1153,66.8408,133.484
1154,68.03659,136.3871
1155,64.79586,131.4559
1156,70.55126,126.1986
1157,68.28166,115.046
1158,68.77574,130.3178
1159,67.09315,131.6954
1160,70.14303,135.6519
